geo_id,geo_name,year,component,value,note
state:DC,District of Columbia,2023,sexual_assault_rate,1.127393988,z-score within 2023; raw=79.4859 (per 100k female population)
state:DC,District of Columbia,2023,firearm_share,-0.288446,z-score within 2023; raw=0.0480455 (proportion)
state:DC,District of Columbia,2023,fem_poverty_rate,0.4445940741,z-score within 2023; raw=0.146 (proportion)
state:DC,District of Columbia,2023,unemployment_rate,1.775501957,z-score within 2023; raw=0.053 (proportion)
state:DC,District of Columbia,2024,dv_rate,0.585112095,z-score within 2024; raw=814.311 (per 100k female population)
state:DC,District of Columbia,2024,sexual_assault_rate,0.09553448296,z-score within 2024; raw=58.1887 (per 100k female population)
state:DC,District of Columbia,2024,firearm_share,-0.2879802236,z-score within 2024; raw=0.0463123 (proportion)
state:DC,District of Columbia,2024,fem_poverty_rate,1.796595126,z-score within 2024; raw=0.18 (proportion)
state:DC,District of Columbia,2024,unemployment_rate,1.437779767,z-score within 2024; raw=0.056 (proportion)
state:FL,Florida,2021,dv_rate,-1.931474195,z-score within 2021; raw=0.757232 (per 100k female population)
state:FL,Florida,2021,sexual_assault_rate,-1.99277148,z-score within 2021; raw=0.0334073 (per 100k female population)
state:FL,Florida,2021,firearm_share,-1.426916344,z-score within 2021; raw=0.00873362 (proportion)
state:FL,Florida,2021,fem_poverty_rate,0.1512030865,z-score within 2021; raw=0.142 (proportion)
state:FL,Florida,2021,unemployment_rate,-0.05179783112,z-score within 2021; raw=0.056 (proportion)
state:FL,Florida,2021,gun_deaths_per_100k,-0.2345670237,z-score within 2021; raw=13.7 (per 100k population)
state:FL,Florida,2022,dv_rate,-1.82127763,z-score within 2022; raw=137.318 (per 100k female population)
state:FL,Florida,2022,sexual_assault_rate,-1.791946578,z-score within 2022; raw=12.0555 (per 100k female population)
state:FL,Florida,2022,firearm_share,0.3339923495,z-score within 2022; raw=0.0716961 (proportion)
state:FL,Florida,2022,fem_poverty_rate,0.09261346316,z-score within 2022; raw=0.138 (proportion)
state:FL,Florida,2022,unemployment_rate,0.03562292224,z-score within 2022; raw=0.04 (proportion)
state:FL,Florida,2022,gun_deaths_per_100k,-0.3343575759,z-score within 2022; raw=14.1 (per 100k population)
state:FL,Florida,2023,dv_rate,-1.714614527,z-score within 2023; raw=213.753 (per 100k female population)
state:FL,Florida,2023,sexual_assault_rate,-1.767701496,z-score within 2023; raw=17.2032 (per 100k female population)
state:FL,Florida,2023,firearm_share,0.2592823962,z-score within 2023; raw=0.0656586 (proportion)
state:FL,Florida,2023,fem_poverty_rate,-0.05927920988,z-score within 2023; raw=0.132 (proportion)
state:FL,Florida,2023,unemployment_rate,0.1984232956,z-score within 2023; raw=0.041 (proportion)
state:FL,Florida,2023,gun_deaths_per_100k,-0.2348172622,z-score within 2023; raw=14.4 (per 100k population)
state:FL,Florida,2024,dv_rate,-1.576271719,z-score within 2024; raw=276.456 (per 100k female population)
state:FL,Florida,2024,sexual_assault_rate,-1.60164272,z-score within 2024; raw=21.3349 (per 100k female population)
state:FL,Florida,2024,firearm_share,0.1948830962,z-score within 2024; raw=0.0607902 (proportion)
state:FL,Florida,2024,fem_poverty_rate,0.004303221859,z-score within 2024; raw=0.131 (proportion)
state:FL,Florida,2024,unemployment_rate,0.3704323418,z-score within 2024; raw=0.046 (proportion)
state:FL,Florida,2024,gun_deaths_per_100k,-0.2485690653,z-score within 2024; raw=13.7 (per 100k population)
state:GA,Georgia,2021,dv_rate,-0.1152594209,z-score within 2021; raw=595.545 (per 100k female population)
state:GA,Georgia,2021,sexual_assault_rate,-0.3871249617,z-score within 2021; raw=62.978 (per 100k female population)
state:GA,Georgia,2021,firearm_share,1.424377359,z-score within 2021; raw=0.110356 (proportion)
state:GA,Georgia,2021,fem_poverty_rate,0.4970038674,z-score within 2021; raw=0.152 (proportion)
state:GA,Georgia,2021,unemployment_rate,-0.113232468,z-score within 2021; raw=0.055 (proportion)
state:GA,Georgia,2021,gun_deaths_per_100k,0.4206481262,z-score within 2021; raw=17.7 (per 100k population)
state:GA,Georgia,2022,dv_rate,-0.1544134268,z-score within 2022; raw=612.409 (per 100k female population)
state:GA,Georgia,2022,sexual_assault_rate,-0.3479929354,z-score within 2022; raw=68.0454 (per 100k female population)
state:GA,Georgia,2022,firearm_share,1.616644047,z-score within 2022; raw=0.113052 (proportion)
state:GA,Georgia,2022,fem_poverty_rate,0.09261346316,z-score within 2022; raw=0.138 (proportion)
state:GA,Georgia,2022,unemployment_rate,0.2778587935,z-score within 2022; raw=0.042 (proportion)
state:GA,Georgia,2022,gun_deaths_per_100k,0.5829065703,z-score within 2022; raw=20.3 (per 100k population)
