geo_id,geo_name,geo_type,state,county,tribal_area,year,quarter,month,dv_rate,sexual_assault_rate,firearm_share,dating_partner_share,minority_victim_share,native_american_victim_share,reporting_proxy,risk_index,data_quality_flag
state:MA,Massachusetts,state,MA,,,2024,,,472.5612402,47.93563264,0.02713594841,0.2204907756,0.4627434987,0.001031570867,1126.840577,-0.8186682826,ok
state:MI,Michigan,state,MI,,,2021,,,832.7385438,102.3298327,0.08783982366,0.2068944404,0.4828866528,0.004716752939,2030.681443,0.4657780459,ok
state:MI,Michigan,state,MI,,,2022,,,829.212515,99.94251753,0.07772765578,0.1977891241,0.479717662,0.004257089032,2003.617795,0.4328046362,ok
state:MI,Michigan,state,MI,,,2023,,,831.2759365,62.94844579,0.07526961512,0.1960769764,0.4903814485,0.003366798004,2001.478385,0.427856046,ok
state:MI,Michigan,state,MI,,,2024,,,816.3992913,62.53884258,0.06848028844,0.1936978104,0.4926214476,0.003372349198,1950.572092,0.3236171047,ok
state:MN,Minnesota,state,MN,,,2021,,,402.0319093,104.7245419,0.08151481702,0.2359259574,0.5404502074,0.0494100592,1065.061252,-0.357982051,ok
state:MN,Minnesota,state,MN,,,2022,,,373.6712598,100.4826497,0.07814563705,0.2174429867,0.5446796125,0.04528254813,1022.106093,-0.4857159139,ok
state:MN,Minnesota,state,MN,,,2023,,,375.6552804,56.30126237,0.08000882613,0.2146072374,0.5612328993,0.04611010384,1014.945589,-0.6207029829,ok
state:MN,Minnesota,state,MN,,,2024,,,399.6763751,59.97793659,0.06980273141,0.2270539779,0.5672547298,0.04626007823,1017.947835,-0.5214304367,ok
state:MS,Mississippi,state,MS,,,2021,,,470.2301723,32.03990149,0.05543287901,0.2485342268,0.5697943925,0.0008971962617,1116.127391,0.56535597,ok
state:MS,Mississippi,state,MS,,,2022,,,422.631345,26.35619577,0.06353900256,0.2269021739,0.5794967672,0.001168497312,1060.349587,0.6805030626,ok
state:MS,Mississippi,state,MS,,,2023,,,343.6319424,23.37000934,0.04675225139,0.217474612,0.5879590495,0.0006574621959,880.6359477,0.4230795419,ok
state:MS,Mississippi,state,MS,,,2024,,,358.0971316,20.72399051,0.0557221631,0.2323691593,0.5888857386,0.002457234666,867.303198,0.3903926231,ok
state:MO,Missouri,state,MO,,,2021,,,883.4679594,91.77191316,0.1009543043,0.237586125,0.3995254678,0.001186330412,2061.928732,0.5149053994,ok
state:MO,Missouri,state,MO,,,2022,,,861.1088721,84.25389567,0.1028760187,0.2286771105,0.3949126021,0.001049538203,2049.826732,0.5070468098,ok
state:MO,Missouri,state,MO,,,2023,,,871.6311651,73.27854763,0.09979483606,0.2208415592,0.4010192884,0.001302010676,2085.955615,0.5712726447,ok
state:MO,Missouri,state,MO,,,2024,,,875.5573752,73.26923493,0.09755911663,0.2210323736,0.4207659204,0.001216611284,2095.500119,0.5261086256,ok
state:MT,Montana,state,MT,,,2021,,,901.2462084,145.3622917,0.05268860897,0.2992008669,0.32269971,0.2408383865,1717.135679,0.3078278942,ok
state:MT,Montana,state,MT,,,2022,,,781.769552,124.011091,0.056748236,0.2843416904,0.2994901675,0.217188638,1512.889885,0.2163965756,ok
state:MT,Montana,state,MT,,,2023,,,773.343513,75.80919588,0.06057932657,0.2877518012,0.3085690165,0.2068383284,1525.379708,0.1814441144,ok
state:MT,Montana,state,MT,,,2024,,,724.8570235,78.23641305,0.05074404762,0.2525297619,0.3156169849,0.2141635794,1497.859532,3.939173404e-05,ok
state:NE,Nebraska,state,NE,,,2021,,,468.6182892,83.00547514,0.01505061268,0.2654501865,0.2942690058,0.04362573099,1008.422504,-0.8159969739,ok
state:NE,Nebraska,state,NE,,,2022,,,487.6496836,85.15154837,0.01791158537,0.2498729675,0.2846412556,0.03856502242,1052.296686,-0.8472334446,ok
state:NE,Nebraska,state,NE,,,2023,,,494.6956966,67.01901539,0.03162574518,0.2149136102,0.3790172643,0.0424081452,1310.844259,-0.6563423309,ok
state:NE,Nebraska,state,NE,,,2024,,,561.669861,69.26129044,0.03445599876,0.1844637591,0.4027918268,0.03580821364,1683.964129,-0.4047372721,ok
state:NV,Nevada,state,NV,,,2021,,,1698.524632,129.4986049,0.04424824856,0.3108055317,0.4928779782,0.007750122426,3139.114857,1.222146281,ok
state:NV,Nevada,state,NV,,,2022,,,1570.666398,137.9117792,0.05296690244,0.29291075,0.4837310195,0.00727448016,2978.733602,1.150628334,ok
state:NV,Nevada,state,NV,,,2023,,,1480.216131,69.69092393,0.0501717439,0.2812095276,0.4922321974,0.007485131499,2825.664653,0.7820809935,ok
