data_year,weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,sex_code,age_range_low_num,age_range_high_num,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Responding to Disturbance Call,I,ROMA,Roma,Texas,11534,23,4,1,4,2.1,2.8,4/17/21 0:00,15,Hispanic or Latino,None,F,27,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Service/Gas Station,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,HOUSTON,Houston,Texas,2339252,4345,371,905,628,2.2,2.7,3/22/21 0:00,5,Hispanic or Latino,Minor Injury,F,24,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,24,24 Years Old,Attempting Other Arrests,I,JAMES CITY COUNTY PD,James City County Police Department,Virginia,78587,82,4,18,8,1.3,1.4,1/7/21 0:00,19,Not Hispanic or Latino,None,F,24,0,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,JAMES CITY COUNTY PD,James City County Police Department,Virginia,78587,82,4,18,8,1.3,1.4,1/7/21 0:00,19,Not Hispanic or Latino,Minor Injury,F,27,0,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,8/10/21 0:00,18,Not Hispanic or Latino,None,F,21,55,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,8/10/21 0:00,18,Not Hispanic or Latino,None,F,21,55,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,8/10/21 0:00,18,Not Hispanic or Latino,None,F,21,55,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Government/Public Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,38,38 Years Old,"Handling, Transporting, Custody of Prisoners",I,LYNCHBURG,Lynchburg,Virginia,82088,123,13,27,21,1.8,2.2,8/10/21 0:00,18,Not Hispanic or Latino,None,F,21,55,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Native Hawaiian or Other Pacific Islander,50,25,25 Years Old,Attempting Other Arrests,I,SAN DIEGO,San Diego,California,1434673,1571,192,306,325,1.3,1.7,6/20/21 0:00,11,Not Hispanic or Latino,None,F,25,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Unknown,98,50,50 Years Old,"Handling, Transporting, Custody of Prisoners",I,JEFFERSON,Jefferson,Colorado,193451,311,183,70,175,2,3.8,3/24/21 0:00,11,Unknown,Minor Injury,F,50,,
2021,Knife/Cutting Instrument,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,54,54 Years Old,Responding to Disturbance Call,I,STERLING,Sterling,Colorado,14006,14,0,5,5,1.4,1.7,8/30/21 0:00,14,Not Hispanic or Latino,None,F,54,,
2021,Personal Weapons,t,None (no bias),Victim was Employee,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,DENVER,Denver,Colorado,740209,1233,168,214,169,2,2.4,4/1/21 0:00,18,Hispanic or Latino,Minor Injury,F,27,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,24,24 Years Old,"Handling, Transporting, Custody of Prisoners",I,DAWSON,Dawson,Georgia,27595,67,19,9,25,2.8,4.3,11/28/21 0:00,22,Not Hispanic or Latino,None,F,24,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,24,24 Years Old,Handling Persons with Mental Illness,I,LAKE,Lake,Indiana,50234,143,159,18,119,3.2,8.7,2/3/21 0:00,14,Not Hispanic or Latino,Minor Injury,F,24,,
