state_name,data_year,total_incidents,white_victims,black_victims,nat_amer_victims,asian_victims,hispanic_victims,other_race_victims,victims_age_18_29,victims_age_30_39,victims_age_40_49,victims_age_50_59,victims_age_60_69,victims_age_70_79,victims_age_80_plus,involving_firearm,sex_assaults,victim_offender_nonmarried_partner,victim_offender_rel_spouse,dv_total,firearm_nonmarried,near_school,on_tribal_lands,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k,white_adj_rate,black_adj_rate,nat_amer_adj_rate,asian_adj_rate,hispanic_adj_rate
Ohio,2024,71163,35711,31890,58,446,1825,3058,27493,21163,12089,6179,2995,965,279,4972,2917,14380,4555,27646,494,723,1,4767138.2,0.749543393,0.119361501,0.00116853,0.027380264,0.051074432,0.05147188,0.417928538,0.195598531,0.170291675,0.153203426,0.15042338,0.164851013,0.111703499,0.053928476,0.482782338,0.137,0.116,1.181034483,0.59745667,0.634514982,0.941595844,0.04,72212,0.323511779,0.921776233,13.61558017,15,999.418741,5604.44363,1041.19095,341.6956776,749.5516783
Oklahoma,2021,30093,20259,6111,2775,181,11,767,11036,8645,5404,3127,1296,410,175,2099,2027,7758,3334,14624,246,244,32,1538933.6,0.628391485,0.066619526,0.067622877,0.022330841,0.117202987,0.097832284,0.572306765,0.214058968,0.179717953,0.157330624,0.152082572,0.152482358,0.099009146,0.045318379,0.457719123,0.169,0.143,1.181818182,0.56588225,0.610399774,0.92706825,0.059,55826,0.279247726,0.887111163,13.23224423,20.7,2094.921872,5960.612147,2666.548344,526.6882306,6.098655802
Oklahoma,2022,30843,20800,6108,2870,201,18,864,11068,8833,5552,3279,1438,459,214,1971,2081,7527,3408,14538,214,353,13,1550813.2,0.626250808,0.066805065,0.068075526,0.023053883,0.121073685,0.094741032,0.574546549,0.217071512,0.178000834,0.159158801,0.147609469,0.151756772,0.10068437,0.045718242,0.454074869,0.171,0.142,1.204225352,0.557668626,0.610449307,0.913537978,0.042,59673,0.285184814,0.895583135,13.2975314,21.2,2141.684763,5895.629029,2718.512925,562.2021262,9.586570168
Oklahoma,2023,30974,20496,6559,2920,238,20,761,11230,8677,5590,3367,1395,464,251,1958,1578,7329,3254,14612,218,427,16,1564709,0.617346732,0.066234745,0.066127686,0.023144567,0.129085772,0.098060498,0.583308431,0.214376883,0.179988308,0.16037903,0.145245233,0.15168054,0.100421711,0.047908295,0.477071089,0.174,0.144,1.208333333,0.56061865,0.611731,0.916446364,0.046,62138,0.287141994,0.896768428,13.28827706,20.1,2121.809445,6328.753516,2822.058064,657.1950994,9.90188866
Oklahoma,2024,31928,21058,6803,2861,268,15,938,11442,8840,6025,3355,1500,534,232,1985,1636,7815,3391,15483,217,493,29,1587443,0.610524558,0.063841004,0.065619099,0.025121643,0.134596606,0.10029709,0.590071375,0.214667441,0.177555028,0.16345937,0.143087658,0.153459193,0.098714308,0.049057002,0.496959385,0.159,0.139,1.143884892,0.570933359,0.614807722,0.928637261,0.047,66148,0.293193422,0.902247104,13.33341791,19.9,2172.780442,6712.78322,2746.562302,672.0299281,7.020353971
Oregon,2021,18920,15546,1685,259,373,1861,1057,6644,5336,3398,2162,960,298,122,761,1764,4963,1539,8576,88,73,7,1709557.2,0.720464043,0.017912676,0.006901067,0.04398968,0.140483802,0.070248731,0.453957399,0.189603901,0.181007992,0.162805047,0.151984363,0.157595306,0.109313027,0.047690364,0.436273385,0.129,0.115,1.12173913,0.574651895,0.615839416,0.933119706,0.064,71562,0.363310329,0.918742442,13.78716078,13,1262.184132,5502.446115,2195.330362,495.9916813,774.8836268
Oregon,2022,18653,15319,1596,207,348,2151,1183,6365,5419,3422,2000,1013,316,118,779,1708,4596,1563,8180,85,85,5,1714876.4,0.716385107,0.018449404,0.006933502,0.045112457,0.143754317,0.069365212,0.458891954,0.189791133,0.179235739,0.163936395,0.14810072,0.154536385,0.114162519,0.050237109,0.440049062,0.133,0.109,1.220183486,0.587071336,0.624499639,0.940066735,0.043,75657,0.363424586,0.916359443,13.76945922,14.9,1246.955755,5044.495307,1740.944301,449.8315777,872.5427035
Oregon,2023,19396,15802,1689,289,419,2443,1197,6420,5701,3737,2074,986,360,118,794,1264,4678,1557,8371,92,97,7,1723728.4,0.707976977,0.019511461,0.006136972,0.045235248,0.149187241,0.0719521,0.468870075,0.186189695,0.178294998,0.166881906,0.146934681,0.153800796,0.116642049,0.051255875,0.439428793,0.13,0.114,1.140350877,0.582442379,0.625506871,0.931152647,0.041,80160,0.376519295,0.919788244,13.85003483,14.6,1294.863788,5021.934249,2731.963318,537.3635572,949.9985611
Oregon,2024,19537,15825,1907,270,362,2646,1173,6599,5532,3910,2014,1015,352,115,759,1260,4745,1734,8649,81,133,6,1746734.2,0.701378696,0.018412259,0.006217157,0.048284196,0.155122296,0.070585396,0.476313672,0.185996217,0.180320972,0.16557675,0.146262426,0.147692794,0.118815128,0.055335712,0.465729517,0.127,0.108,1.175925926,0.595013984,0.628900297,0.946118148,0.049,85220,0.378432021,0.923013414,13.88205914,14.2,1291.707927,5929.482534,2486.251774,429.2168301,976.5372005
Pennsylvania,2021,13958,5879,7858,7,171,1433,43,5412,4183,2241,1320,569,163,70,1425,817,3767,636,5591,222,99,0,5251492.4,0.735533617,0.101523165,0.000546357,0.036080606,0.083503959,0.042812296,0.438575433,0.18836825,0.166400758,0.147069621,0.16685498,0.169731263,0.1057918,0.055783327,0.527293485,0.134,0.107,1.252336449,0.584239453,0.624293553,0.935840921,0.064,68957,0.345449029,0.918872685,13.68606611,13.6,152.2012406,1473.886818,243.9713262,90.24840722,326.780688
