column,variable_type,count,missing_count,missing_pct,mean,std,min,25%,median,75%,max,iqr,skew,kurtosis,high_skew,extreme_skew,near_zero_variance
%_fem_age_40-49,percentage,204,0,0.0,0.15720072536764707,0.008032256850555515,0.138384204,0.15215227674999998,0.15698452499999999,0.16326985575,0.179352429,0.011117579000000016,0.16709674217222553,-0.04744722106582566,False,False,False
fem_age_50-59,numeric,204,0,0.0,0.15374360415686275,0.011276107463315383,0.110327106,0.14801011125,0.154584654,0.16163515225,0.180565387,0.013625041000000004,-0.8833341565698669,1.819025007695679,False,False,False
fem_age_60-69,numeric,204,0,0.0,0.15860448144117648,0.014086873090825063,0.102537755,0.15302165025,0.158493147,0.16588939525,0.189708832,0.012867744999999986,-0.9685732601777318,3.1646409378758107,False,False,False
fem_age_70-79,numeric,204,0,0.0,0.10509238752450979,0.011834212536393059,0.072630542,0.09901605200000001,0.104874362,0.11270367925,0.135892724,0.013687627249999987,-0.17224130985581734,0.35117196961311503,False,False,False
fem_age_80+,numeric,204,0,0.0,0.0501849643627451,0.00694746525763844,0.026666585,0.046471831,0.0509488565,0.054091975,0.066510222,0.007620144000000002,-0.5760883352520615,1.1577950726147246,False,False,False
age_coef_variation,numeric,204,0,0.0,0.47520181644607845,0.044010521960903964,0.321987597,0.44593947074999996,0.4740863065,0.5110043965,0.583775874,0.06506492575,-0.2995241311177147,0.4002406077578575,False,False,False
fem_poverty_rate,rate,204,0,0.0,0.13438235294117648,0.02828672480772076,0.081,0.11475,0.1295,0.14725,0.215,0.03249999999999999,0.8227740236499342,0.3038763580732611,False,False,False
male_poverty_rate,rate,204,0,0.0,0.11105392156862745,0.023861505869874487,0.06,0.094,0.107,0.123,0.176,0.028999999999999998,0.7392019612290259,0.23963047529976533,False,False,False
poverty_gender_disparity_score,score,204,0,0.0,1.2129209819215687,0.06121054027291117,1.038834951,1.17840709925,1.2089285715,1.2464264445,1.430232558,0.06801934524999997,0.4014493734056608,1.7130655497347758,False,False,False
fem_labor_force_part,numeric,204,0,0.0,0.5959215757745098,0.03506555475901147,0.491887738,0.57453144525,0.595245248,0.62012413425,0.707815287,0.04559268900000002,-0.0017459503799012064,0.6756413279901237,False,False,False
all_labor_force_part,numeric,204,0,0.0,0.6377941394411765,0.03467129224736917,0.526301462,0.61686555325,0.6387771,0.661277757,0.727739074,0.04441220374999999,-0.36038411292320116,0.4456489091445466,False,False,False
labor_force_ratio,ratio,204,0,0.0,0.9342270883382353,0.013720411487834957,0.890570052,0.926445747,0.933717431,0.94260793875,0.979542854,0.01616219175,0.1153871600838361,1.1327357020493145,False,False,False
unemployment_rate,rate,204,0,0.0,0.04464215686274509,0.013099632877753602,0.019,0.036,0.043,0.05025,0.097,0.014250000000000006,1.0347200647494321,1.7053852253205073,True,False,False
mhhi,numeric,204,0,0.0,75809.44117647059,13726.498271931214,48716.0,66424.0,73891.0,84869.5,121875.0,18445.5,0.5823702651086993,0.22357609508352283,False,False,False
%_at_least_bach_degree,percentage,204,0,0.0,0.3549263356617647,0.06853949291311574,0.239893934,0.31632113349999996,0.34673391750000004,0.38975972875000003,0.659441853,0.07343859525000007,1.5618508326858078,4.983876906106165,True,False,False
%_at_least_high_school,percentage,204,0,0.0,0.9113005154411765,0.023698085419646776,0.844485345,0.89556244825,0.9143439440000001,0.93021574,0.95503496,0.03465329174999998,-0.5238276768158685,-0.15852629041799116,False,False,False
avg_years_schooling,count,204,0,0.0,13.70122785117647,0.3949712413466709,13.06370163,13.4688287025,13.687694765,13.895773890000001,15.53924099,0.4269451875000012,1.5091177076088773,5.415407879979906,True,False,False
gun_deaths_per_100k,rate,200,4,1.9607843137254901,15.642999999999999,6.341460526411892,3.1,12.0,15.149999999999999,20.025,33.9,8.024999999999999,0.13063102795772616,-0.2501488662088289,False,False,False
white_adj_rate,rate,204,0,0.0,1422.4568479315978,848.2915295438372,2.808739446,938.50759305,1288.515845,1674.5388722500002,5554.399811,736.0312792000002,2.340527560542533,7.3355493711030775,True,True,False
black_adj_rate,rate,204,0,0.0,4481.616439352583,2159.5028511306546,3.729967027,2907.29152625,4369.343054999999,5969.420680249999,13062.12318,3062.1291539999993,0.5519325143890187,0.7963112366639957,False,False,False
nat_amer_adj_rate,rate,204,0,0.0,3332.1475497289216,2852.373380740021,138.2808451,1217.192893,2333.6745375,4469.64113125,12807.56264,3252.4482382500005,1.4112416889331612,1.4413752218135847,True,False,False
asian_adj_rate,rate,204,0,0.0,498.15308426367164,309.09047618520975,3.204019429,333.112874775,431.50530815,571.8071098,1766.727566,238.694235025,1.57707731495478,2.8628065374289773,True,False,False
hispanic_adj_rate,rate,204,0,0.0,1201.944119958956,639.1086594312385,2.412635026,698.9222705,1237.5732404999999,1588.8956865,3172.503091,889.973416,0.20180232460996442,-0.2834696087899853,False,False,False
