state,variable,template_sentence
Nebraska,dv_total,"In Nebraska after 2022, dv_total averaged 4016.50, which is up 15.1% from the 2021 value of 3489.00."
Nebraska,firearm_nonmarried,"In Nebraska after 2022, firearm_nonmarried averaged 19.50, which is down 2.5% from the 2021 value of 20.00."
Nevada,involving_firearm,"In Nevada after 2022, involving_firearm averaged 1723.00, which is up 1.4% from the 2021 value of 1699.00."
Nevada,dv_total,"In Nevada after 2022, dv_total averaged 18441.50, which is down 11.2% from the 2021 value of 20776.00."
Nevada,firearm_nonmarried,"In Nevada after 2022, firearm_nonmarried averaged 190.00, which is down 5.5% from the 2021 value of 201.00."
New Hampshire,involving_firearm,"In New Hampshire after 2022, involving_firearm averaged 80.00, which is up 5.3% from the 2021 value of 76.00."
New Hampshire,dv_total,"In New Hampshire after 2022, dv_total averaged 2669.00, which is down 2.2% from the 2021 value of 2728.00."
New Hampshire,firearm_nonmarried,"In New Hampshire after 2022, firearm_nonmarried averaged 13.00, which is up 8.3% from the 2021 value of 12.00."
New Jersey,involving_firearm,"In New Jersey after 2022, involving_firearm averaged 416.00, which is up 122.5% from the 2021 value of 187.00."
New Jersey,dv_total,"In New Jersey after 2022, dv_total averaged 13315.50, which is up 161.8% from the 2021 value of 5087.00."
New Jersey,firearm_nonmarried,"In New Jersey after 2022, firearm_nonmarried averaged 77.00, which is up 92.5% from the 2021 value of 40.00."
New Mexico,involving_firearm,"In New Mexico after 2022, involving_firearm averaged 2222.00, which is up 32.2% from the 2021 value of 1681.00."
New Mexico,dv_total,"In New Mexico after 2022, dv_total averaged 10449.50, which is up 43.6% from the 2021 value of 7277.00."
New Mexico,firearm_nonmarried,"In New Mexico after 2022, firearm_nonmarried averaged 185.00, which is up 51.6% from the 2021 value of 122.00."
New York,involving_firearm,"In New York after 2022, involving_firearm averaged 1991.50, which is up 234.1% from the 2021 value of 596.00."
New York,dv_total,"In New York after 2022, dv_total averaged 44535.50, which is up 461.9% from the 2021 value of 7926.00."
New York,firearm_nonmarried,"In New York after 2022, firearm_nonmarried averaged 215.00, which is up 252.5% from the 2021 value of 61.00."
North Carolina,involving_firearm,"In North Carolina after 2022, involving_firearm averaged 8595.50, which is down 5.5% from the 2021 value of 9095.00."
North Carolina,dv_total,"In North Carolina after 2022, dv_total averaged 32912.50, which is down 6.7% from the 2021 value of 35276.00."
