weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,38,38 Years Old,All Other,I,HONOLULU,Honolulu,Hawaii,992973,1568,197,241,286,1.8,2.3,2024-08-09 00:00:00,7,Not Hispanic or Latino,None,2024,5,F,38,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,34,34 Years Old,Attempting Other Arrests,I,REVERE,Revere,Massachusetts,57779,87,3,19,9,1.8,2.0,2024-01-10 00:00:00,22,Hispanic or Latino,None,2024,5,F,34,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,26,26 Years Old,Responding to Disturbance Call,I,EL MONTE,El Monte,California,102088,100,10,15,30,1.1,1.5,2024-08-11 00:00:00,5,Not Specified,Minor Injury,2024,5,F,26,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,55,55 Years Old,All Other,I,IOWA CITY,Iowa City,Iowa,75934,68,7,13,13,1.1,1.3,2024-08-30 00:00:00,6,Not Hispanic or Latino,Minor Injury,2024,5,F,55,
Personal Weapons,t,None (no bias),Victim Was Stranger,Other/Unknown,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,NEW YORK,New York,New York,8299271,26248,5007,7059,8490,4.0,5.6,2024-09-28 00:00:00,23,Not Hispanic or Latino,Minor Injury,2024,5,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,AUSTIN,Austin,Texas,984613,1324,232,183,420,1.5,2.2,2024-05-08 00:00:00,16,Hispanic or Latino,Minor Injury,2024,5,F,31,
Personal Weapons,t,None (no bias),Victim Was Stranger,Grocery/Supermarket,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,FAIRVIEW HEIGHTS,Fairview Heights,Illinois,15948,,,,,,,2024-06-28 00:00:00,16,Not Hispanic or Latino,Minor Injury,2024,5,F,31,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,37,37 Years Old,Responding to Disturbance Call,I,WASHINGTON,Washington,District of Columbia,702250,2489,283,787,410,4.7,5.7,2024-02-09 00:00:00,6,Not Hispanic or Latino,None,2024,5,F,25,50
Personal Weapons,t,None (no bias),Victim Was Stranger,Drug Store/Doctor's Office/Hospital,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,58,58 Years Old,Investigating Suspicious Persons or Circumstances,I,ROCHESTER,Rochester,New York,206093,535,29,83,51,3.0,3.4,2024-08-10 00:00:00,6,Not Hispanic or Latino,None,2024,5,F,58,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,UNIV OF IL: URBANA,University of Illinois:,Illinois,0,55,24,17,22,0,0,2024-09-19 00:00:00,23,Not Hispanic or Latino,Minor Injury,2024,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,UNIV OF IL: URBANA,University of Illinois:,Illinois,0,55,24,17,22,0,0,2024-09-19 00:00:00,23,Not Hispanic or Latino,Minor Injury,2024,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,27,27 Years Old,Handling Persons with Mental Illness,I,NEW YORK,New York,New York,8299271,26248,5007,7059,8490,4.0,5.6,2024-06-15 00:00:00,19,Hispanic or Latino,Minor Injury,2024,5,F,27,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,30,30 Years Old,Attempting Other Arrests,I,MUSCATINE,Muscatine,Iowa,23208,34,0,6,4,1.7,1.9,2024-01-17 00:00:00,22,Unknown,Minor Injury,2024,5,F,25,35
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,42,42 Years Old,Attempting Other Arrests,I,BOSSIER CITY,Bossier City,Louisiana,62750,133,4,20,35,2.4,3.1,2024-02-05 00:00:00,22,Hispanic or Latino,None,2024,5,F,42,
Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,23,23 Years Old,Burglaries in Progress or Pursuing Burglary Suspects,I,MINNETONKA,Minnetonka,Minnesota,51935,47,11,10,3,1.1,1.4,2024-05-31 00:00:00,18,Not Hispanic or Latino,None,2024,5,F,23,
None,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,SANTA BARBARA,Santa Barbara,California,85758,100,17,30,42,1.5,2.2,2024-10-15 00:00:00,11,Hispanic or Latino,None,2024,5,F,25,
None,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,SANTA BARBARA,Santa Barbara,California,85758,100,17,30,42,1.5,2.2,2024-10-15 00:00:00,11,Hispanic or Latino,None,2024,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Handling Persons with Mental Illness,I,KAUFMAN,Kaufman,Texas,115399,83,61,12,69,0.8,1.9,2024-09-23 00:00:00,20,Hispanic or Latino,Minor Injury,2024,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Commercial/Office Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,30,30 Years Old,"Handling, Transporting, Custody of Prisoners",I,DALLAS,Dallas,Texas,1321502,2513,162,599,512,2.4,2.9,2024-04-21 00:00:00,13,Not Hispanic or Latino,Minor Injury,2024,5,F,30,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,39,39 Years Old,All Other,I,NEWTON,Newton,Missouri,34553,43,12,5,14,1.4,2.1,2024-05-01 00:00:00,0,Not Hispanic or Latino,Minor Injury,2024,5,F,39,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Responding to Disturbance Call,I,SAN DIEGO,San Diego,California,1389024,1511,171,300,345,1.3,1.7,2024-03-21 00:00:00,11,Not Hispanic or Latino,Minor Injury,2024,5,F,24,
Personal Weapons,t,None (no bias),Relationship Unknown,Lake/Waterway/Beach,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,41,41 Years Old,"Handling, Transporting, Custody of Prisoners",I,JEFFERSON,Jefferson,Alabama,147349,420,43,86,107,3.4,4.5,2024-04-28 00:00:00,7,Not Specified,None,2024,5,F,18,65
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,Traffic Pursuits and Stops,I,CINCINNATI,Cincinnati,Ohio,311599,755,34,215,101,3.1,3.5,2024-02-04 00:00:00,23,Not Specified,None,2024,5,F,28,
None,f,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,GLENDALE,Glendale,Arizona,255512,378,37,48,106,1.7,2.2,2024-10-24 00:00:00,20,Hispanic or Latino,Other Major Injury,2024,5,F,28,
None,f,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,GLENDALE,Glendale,Arizona,255512,378,37,48,106,1.7,2.2,2024-10-24 00:00:00,20,Hispanic or Latino,Other Major Injury,2024,5,F,28,
Personal Weapons,t,None (no bias),Victim Was Stranger,Commercial/Office Building,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,43,43 Years Old,Responding to Disturbance Call,I,MANKATO,Mankato,Minnesota,46137,41,1,11,9,1.1,1.3,2024-04-15 00:00:00,11,Not Specified,None,2024,5,F,43,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Handling Persons with Mental Illness,I,SAN ANTONIO,San Antonio,Texas,1514458,2167,206,347,446,1.7,2.1,2024-03-10 00:00:00,5,Not Hispanic or Latino,None,2024,5,F,24,
Personal Weapons,t,None (no bias),Victim Was Stranger,Department/Discount Store,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,35,35 Years Old,All Other,I,MIAMI-DADE,Miami-Dade,Florida,1212003,2345,278,789,842,2.6,3.5,2024-07-30 00:00:00,0,Not Hispanic or Latino,None,2024,5,F,35,
Other,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,39,39 Years Old,Responding to Disturbance Call,I,WASHINGTON,Washington,District of Columbia,702250,2489,283,787,410,4.7,5.7,2024-08-19 00:00:00,9,Not Specified,Minor Injury,2024,5,F,24,54
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,98,98 Years Old,Handling Persons with Mental Illness,I,ASHEVILLE,Asheville,North Carolina,95219,142,21,28,25,1.8,2.3,2024-09-22 00:00:00,14,Not Hispanic or Latino,None,2024,5,F,98,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,40,40 Years Old,Attempting Other Arrests,I,ROCKY MOUNT,Rocky Mount,North Carolina,54223,125,25,28,37,2.8,4.0,2024-10-24 00:00:00,19,Hispanic or Latino,Minor Injury,2024,5,F,40,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,39,39 Years Old,Responding to Disturbance Call,I,HOBART,Hobart,Indiana,29306,65,1,2,11,2.3,2.7,2024-04-15 00:00:00,1,Not Specified,None,2024,5,F,39,
Personal Weapons,t,None (no bias),Victim Was Stranger,Hotel/Motel/Etc.,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,26,26 Years Old,All Other,I,SCOTTSDALE,Scottsdale,Arizona,245237,326,110,48,131,1.5,2.5,2024-04-02 00:00:00,0,Not Specified,Minor Injury,2024,5,F,26,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,41,41 Years Old,Handling Persons with Mental Illness,I,EAST MOLINE,East Moline,Illinois,20637,37,2,1,2,1.8,2.0,2024-11-27 00:00:00,9,Unknown,None,2024,5,F,41,
